                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1547,                0.96071,                 1.4115,                 1.2479,                 1.0768,                  1.428,                0.87202,                0.75922,                0.85795,                0.55408,                 1.2287,                0.78708,                 1.5517,                 1.2879,                0.81722,                 1.5755,               0.006832,               0.006832,               0.006832
                     35,                 1.1644,                0.96116,                  1.415,                 1.2583,                 1.0757,                 1.4316,                0.86935,                0.75053,                0.85694,                0.56089,                 1.2152,                0.77785,                 1.5405,                 1.2811,                0.79605,                 1.5559,               0.006733,               0.006733,               0.006733
                     36,                 1.1447,                0.94375,                 1.4002,                 1.2466,                 1.0489,                  1.419,                0.85002,                0.77996,                0.86142,                0.56551,                 1.2022,                0.78395,                  1.518,                 1.2804,                0.80701,                 1.5428,               0.006634,               0.006634,               0.006634
                     37,                 1.1383,                0.95144,                 1.4018,                 1.2355,                 1.0655,                  1.419,                0.85684,                0.77155,                0.86323,                0.56059,                 1.1968,                0.80796,                 1.5169,                 1.2886,                0.79687,                 1.5615,               0.006535,               0.006535,               0.006535
                     38,                 1.1346,                0.92333,                 1.3972,                 1.2311,                 1.0421,                 1.4185,                0.85698,                0.76804,                0.86503,                0.57306,                  1.191,                0.75307,                 1.5175,                 1.2593,                0.77945,                 1.5558,               0.006436,               0.006436,               0.006436
                     39,                 1.1278,                0.92878,                 1.3898,                 1.2271,                 1.0357,                 1.4163,                0.86138,                0.77926,                0.86498,                0.56662,                 1.1964,                0.76223,                 1.5168,                 1.2594,                0.78387,                 1.5426,               0.006337,               0.006337,               0.006337
                     40,                 1.1282,                0.91473,                 1.3887,                 1.2307,                 1.0216,                 1.4057,                 0.8592,                0.78206,                0.86471,                 0.5703,                  1.195,                0.74927,                 1.5232,                 1.2589,                 0.7726,                 1.5518,               0.006238,               0.006238,               0.006238
                     41,                 1.1162,                 0.8967,                 1.3766,                  1.209,                0.99962,                 1.3924,                0.88271,                0.78626,                0.87644,                0.58681,                   1.18,                0.73078,                 1.4923,                  1.241,                0.72974,                 1.5116,               0.006139,               0.006139,               0.006139
                     42,                 1.1156,                0.90901,                 1.3727,                 1.2058,                 1.0176,                  1.388,                0.88519,                0.77505,                 0.8749,                0.58401,                  1.184,                0.73958,                 1.5032,                 1.2487,                0.75095,                 1.5261,                0.00604,                0.00604,                0.00604
                     43,                 1.1182,                0.90384,                 1.3851,                 1.2155,                 1.0108,                 1.4065,                0.87404,                0.77926,                0.87666,                0.58204,                 1.1759,                0.73621,                 1.4901,                 1.2436,                 0.7458,                 1.5167,               0.005941,               0.005941,               0.005941
                     44,                 1.1069,                0.88318,                 1.3755,                 1.1997,                  0.994,                 1.3955,                0.85756,                0.77996,                0.87263,                0.58755,                 1.1669,                0.72676,                 1.5004,                   1.22,                0.73489,                 1.5251,               0.005842,               0.005842,               0.005842
                     45,                 1.1096,                0.88006,                 1.3718,                 1.2072,                0.98177,                 1.3906,                0.87623,                0.80098,                 0.8813,                0.58616,                 1.1689,                0.72763,                 1.4996,                 1.2491,                0.70171,                 1.5346,               0.005743,               0.005743,               0.005743
                     46,                  1.107,                0.89033,                 1.3728,                 1.2052,                0.98373,                 1.3905,                0.88674,                0.78458,                0.88208,                 0.5947,                 1.1539,                 0.7322,                 1.4834,                 1.2088,                0.73859,                 1.4952,               0.005644,               0.005644,               0.005644
                     47,                 1.0985,                0.86813,                 1.3635,                 1.1856,                0.97514,                 1.3814,                0.87894,                0.78351,                0.87703,                0.58597,                 1.1735,                0.72104,                 1.4999,                 1.2389,                0.72722,                 1.5228,               0.005545,               0.005545,               0.005545
                     48,                 1.0929,                0.85544,                 1.3621,                 1.1822,                0.95879,                 1.3812,                 0.8978,                0.77786,                0.88028,                0.58837,                 1.1806,                0.70842,                 1.5072,                 1.2406,                0.71222,                 1.5302,               0.005446,               0.005446,               0.005446
                     49,                 1.0928,                0.85838,                 1.3554,                 1.1823,                0.95865,                 1.3789,                0.88515,                0.78851,                0.88296,                0.59215,                 1.1681,                0.70075,                 1.4887,                 1.2343,                 0.7062,                 1.5087,               0.005347,               0.005347,               0.005347
                     50,                 1.0806,                0.84944,                 1.3503,                 1.1658,                0.95626,                 1.3766,                0.88301,                0.78907,                0.88351,                0.58918,                 1.1639,                 0.6904,                  1.496,                  1.229,                0.71864,                 1.5368,               0.005248,               0.005248,               0.005248
                     51,                 1.0806,                0.84865,                  1.354,                 1.1628,                0.96701,                 1.3714,                0.86349,                0.80229,                0.88154,                 0.5956,                 1.1586,                0.70812,                 1.4862,                  1.216,                0.71599,                 1.5152,               0.005149,               0.005149,               0.005149
