                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.1121,                  1.003,                 1.3671,                 1.2105,                 1.1097,                 1.3896,                0.83158,                0.74887,                0.83264,                0.52787,                  1.189,                0.82822,                 1.5087,                 1.2672,                0.84927,                 1.5373,               0.006337,               0.006337,               0.006337
                     40,                 1.1081,                 1.0016,                 1.3644,                 1.1992,                 1.1191,                 1.3828,                0.81573,                0.76055,                0.82928,                0.52959,                 1.1895,                0.82928,                 1.5087,                 1.2399,                0.86434,                 1.5271,               0.006238,               0.006238,               0.006238
                     41,                 1.0996,                0.97927,                 1.3591,                 1.1896,                 1.0959,                 1.3752,                0.84857,                 0.7682,                0.83332,                 0.5373,                 1.1927,                0.80599,                 1.5076,                 1.2509,                0.80499,                 1.5222,               0.006139,               0.006139,               0.006139
                     42,                  1.104,                0.98045,                  1.358,                 1.1938,                 1.0921,                 1.3744,                0.84784,                0.77248,                0.84191,                0.53522,                 1.1821,                0.78714,                 1.5074,                 1.2553,                0.80397,                 1.5356,                0.00604,                0.00604,                0.00604
                     43,                 1.1021,                 0.9787,                 1.3622,                 1.1971,                 1.0809,                 1.3865,                0.84357,                0.77035,                0.83639,                0.53501,                 1.1762,                0.81095,                   1.49,                  1.257,                0.82883,                 1.5386,               0.005941,               0.005941,               0.005941
                     44,                 1.0871,                0.95829,                 1.3474,                 1.1773,                 1.0671,                 1.3622,                0.85298,                 0.7697,                 0.8389,                 0.5426,                 1.1728,                 0.7908,                 1.4897,                 1.2272,                0.81681,                 1.5028,               0.005842,               0.005842,               0.005842
                     45,                 1.0894,                0.94656,                 1.3398,                 1.1853,                 1.0519,                 1.3567,                0.84156,                0.77316,                0.83801,                0.54152,                 1.1705,                0.79189,                   1.49,                 1.2364,                0.81678,                 1.5079,               0.005743,               0.005743,               0.005743
                     46,                 1.0916,                0.96337,                 1.3491,                 1.1872,                 1.0718,                 1.3681,                0.84316,                0.77535,                 0.8479,                0.54922,                 1.1607,                 0.7745,                 1.4751,                 1.2383,                0.79213,                 1.4985,               0.005644,               0.005644,               0.005644
                     47,                 1.0781,                0.92836,                 1.3348,                  1.169,                 1.0331,                 1.3509,                0.84785,                 0.7801,                0.85159,                0.54902,                 1.1604,                0.77167,                 1.4776,                 1.2294,                0.77182,                 1.5022,               0.005545,               0.005545,               0.005545
                     48,                 1.0723,                0.92106,                   1.34,                 1.1657,                 1.0233,                 1.3574,                0.84686,                0.78768,                0.85244,                0.55346,                 1.1529,                0.76706,                  1.474,                 1.2167,                0.77356,                  1.493,               0.005446,               0.005446,               0.005446
                     49,                 1.0732,                  0.927,                 1.3314,                 1.1633,                 1.0298,                 1.3485,                0.84034,                0.79072,                0.85747,                0.56127,                 1.1511,                0.75265,                 1.4692,                  1.208,                0.78403,                 1.4796,               0.005347,               0.005347,               0.005347
